=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2022.03.21 15:17:41 =~=~=~=~=~=~=~=~=~=~=~=
 273 Time: 105362
Distance: 260.34 Time: 105395
DistanRESET
Distance: 256.72 Time: 3
Distance: 256.72 Time: 7
Distance: 255.69 Time: 12
Distance: 252.76 Time: 24
Distance: 251.55 Time: 53
Distance: 256.90 Time: 80
Distance: 255.69 Time: 109
Distance: 261.38 Time: 138
Distance: 256.21 Time: 167
Distance: 261.38 Time: 196
Distance: 256.21 Time: 226
Distance: 269.14 Time: 254
Distance: 270.17 Time: 283
Distance: 269.14 Time: 313
Distance: 266.21 Time: 342
Distance: 265.00 Time: 371
Distance: 266.03 Time: 400
Distance: 269.14 Time: 430
Distance: 274.83 Time: 458
Distance: 261.90 Time: 487
Distance: 260.86 Time: 517
Distance: 266.03 Time: 545
Distance: 265.00 Time: 575
Distance: 261.90 Time: 604
Distance: 260.86 Time: 633
Distance: 261.90 Time: 662
Distance: 273.62 Time: 692
Distance: 260.86 Time: 720
Distance: 257.76 Time: 749
Distance: 260.86 Time: 779
Distance: 257.41 Time: 807
Distance: 265.00 Time: 837
Distance: 265.86 Time: 866
Distance: 252.07 Time: 896
Distance: 253.10 Time: 924
Distance: 253.10 Time: 953
Distance: 260.34 Time: 983
Distance: 261.38 Time: 1011
Distance: 251.55 Time: 1042
Distance: 256.72 Time: 1072
Distance: 260.17 Time: 1102
Distance: 252.59 Time: 1132
Distance: 251.55 Time: 1163
Distance: 256.72 Time: 1192
Distance: 252.41 Time: 1222
Distance: 255.52 Time: 1253
Distance: 252.07 Time: 1283
Distance: 251.03 Time: 1313
Distance: 252.07 Time: 1343
Distance: 255.17 Time: 1374
Distance: 252.07 Time: 1403
Distance: 251.21 Time: 1434
Distance: 265.00 Time: 1464
Distance: 263.97 Time: 1495
Distance: 256.21 Time: 1524
Distance: 256.21 Time: 1554
Distance: 251.21 Time: 1585
Distance: 260.86 Time: 1614
Distance: 259.83 Time: 1645
Distance: 256.72 Time: 1675
Distance: 259.83 Time: 1705
Distance: 256.72 Time: 1735
Distance: 255.69 Time: 1766
Distance: 256.72 Time: 1796
Distance: 260.17 Time: 1826
Distance: 252.76 Time: 1856
Distance: 257.07 Time: 1886
Distance: 256.03 Time: 1916
Distance: 257.24 Time: 1946
Distance: 268.97 Time: 1977
Distance: 261.38 Time: 2007
Distance: 268.97 Time: 2037
Distance: 261.90 Time: 2067
Distance: 265.00 Time: 2098
Distance: 265.86 Time: 2127
Distance: 260.86 Time: 2158
Distance: 261.72 Time: 2188
Distance: 273.45 Time: 2219
Distance: 265.00 Time: 2248
Distance: 266.03 Time: 2278
Distance: 260.69 Time: 2309
Distance: 270.69 Time: 2338
Distance: 265.00 Time: 2369
Distance: 270.52 Time: 2399
Distance: 261.03 Time: 2429
Distance: 261.90 Time: 2459
Distance: 260.69 Time: 2490
Distance: 257.59 Time: 2520
Distance: 261.90 Time: 2549
Distance: 265.00 Time: 2580
Distance: 261.90 Time: 2610
Distance: 256.03 Time: 2640
Distance: 253.10 Time: 2670
Distance: 251.90 Time: 2701
Distance: 253.10 Time: 2731
Distance: 260.34 Time: 2761
Distance: 256.72 Time: 2791
Distance: 252.59 Time: 2821
Distance: 255.69 Time: 2851
Distance: 256.72 Time: 2881
Distance: 251.55 Time: 2912
Distance: 252.59 Time: 2941
Distance: 255.69 Time: 2972
Distance: 256.72 Time: 3002
Distance: 259.83 Time: 3033
Distance: 252.07 Time: 3062
Distance: 251.03 Time: 3093
Distance: 252.24 Time: 3123
Distance: 263.97 Time: 3153
Distance: 255.17 Time: 3183
Distance: 252.07 Time: 3213
Distance: 259.66 Time: 3244
Distance: 264.83 Time: 3273
Distance: 255.17 Time: 3304
Distance: 256.21 Time: 3334
Distance: 259.66 Time: 3364
Distance: 260.86 Time: 3394
Distance: 255.52 Time: 3425
Distance: 256.72 Time: 3454
Distance: 260.86 Time: 3484
Distance: 255.69 Time: 3515
Distance: 269.48 Time: 3545
Distance: 255.69 Time: 3575
Distance: 256.55 Time: 3605
Distance: 264.31 Time: 3636
Distance: 256.90 Time: 3665
Distance: 256.21 Time: 3696
Distance: 257.41 Time: 3726
Distance: 260.34 Time: 3757
Distance: 261.38 Time: 3786
Distance: 261.38 Time: 3816
Distance: 273.28 Time: 3847
Distance: 270.34 Time: 3876
Distance: 265.17 Time: 3907
Distance: 262.07 Time: 3937
Distance: 260.86 Time: 3968
Distance: 266.21 Time: 3997
Distance: 273.62 Time: 4028
Distance: 266.03 Time: 4058
Distance: 260.86 Time: 4088
Distance: 261.90 Time: 4118
Distance: 273.79 Time: 4149
Distance: 265.17 Time: 4178
Distance: 261.90 Time: 4208
Distance: 256.55 Time: 4239
Distance: 261.72 Time: 4269
Distance: 256.72 Time: 4299
Distance: 261.72 Time: 4329
Distance: 265.00 Time: 4360
Distance: 261.90 Time: 4389
Distance: 256.21 Time: 4420
Distance: 252.76 Time: 4450
Distance: 253.10 Time: 4480
Distance: 252.07 Time: 4510
Distance: 261.38 Time: 4540
Distance: 260.34 Time: 4571
Distance: 252.59 Time: 4600
Distance: 255.69 Time: 4631
Distance: 252.59 Time: 4661
Distance: 251.72 Time: 4691
Distance: 252.59 Time: 4721
Distance: 260.00 Time: 4752
Distance: 259.83 Time: 4782
Distance: 260.69 Time: 4811
Distance: 251.03 Time: 4842
Distance: 252.07 Time: 4872
Distance: 259.83 Time: 4902
Distance: 256.21 Time: 4932
Distance: 255.17 Time: 4963
Distance: 252.07 Time: 4993
Distance: 263.79 Time: 5023
Distance: 264.83 Time: 5053
Distance: 256.21 Time: 5083
Distance: 255.17 Time: 5113
Distance: 256.21 Time: 5143
Distance: 259.66 Time: 5174
Distance: 260.86 Time: 5203
Distance: 259.83 Time: 5234
Distance: 260.86 Time: 5264
Distance: 255.69 Time: 5295
Distance: 256.55 Time: 5324
Distance: 255.69 Time: 5355
Distance: 252.76 Time: 5385
Distance: 252.76 Time: 5414
Distance: 264.48 Time: 5445
Distance: 257.24 Time: 5475
Distance: 256.21 Time: 5506
Distance: 261.55 Time: 5535
Distance: 260.52 Time: 5566
Distance: 261.38 Time: 5596
Distance: 268.97 Time: 5626
Distance: 265.69 Time: 5656
Distance: 265.00 Time: 5687
Distance: 261.90 Time: 5716
Distance: 261.90 Time: 5746
Distance: 265.00 Time: 5777
Distance: 266.03 Time: 5807
Distance: 264.83 Time: 5837
Distance: 261.90 Time: 5867
Distance: 261.03 Time: 5898
Distance: 265.86 Time: 5927
Distance: 265.00 Time: 5958
Distance: 261.90 Time: 5988
Distance: 265.00 Time: 6019
Distance: 261.90 Time: 6048
Distance: 257.76 Time: 6078
Distance: 260.86 Time: 6109
Distance: 261.72 Time: 6138
Distance: 265.00 Time: 6169
Distance: 253.10 Time: 6199
Distance: 251.90 Time: 6230
Distance: 261.55 Time: 6259
Distance: 256.21 Time: 6290
Distance: 257.07 Time: 6320
Distance: 260.34 Time: 6350
Distance: 252.24 Time: 6380
Distance: 256.90 Time: 6410
Distance: 255.69 Time: 6440
Distance: 252.76 Time: 6470
Distance: 251.55 Time: 6501
Distance: 252.59 Time: 6531
Distance: 251.55 Time: 6561
Distance: 252.07 Time: 6591
Distance: 251.03 Time: 6622
Distance: 252.07 Time: 6651
Distance: 256.21 Time: 6682
Distance: 255.34 Time: 6712
Distance: 256.03 Time: 6742
Distance: 251.03 Time: 6772
Distance: 265.00 Time: 6802
Distance: 263.79 Time: 6833
Distance: 256.21 Time: 6862
Distance: 263.97 Time: 6893
Distance: 256.21 Time: 6923
Distance: 259.83 Time: 6953
Distance: 265.17 Time: 6983
Distance: 259.83 Time: 7014
Distance: 259.66 Time: 7044
